,open,high,low,close,volume
2020-04-01 04:00:00-04:00,181.1890,181.6490,179.8910,180.7710,80396
2020-04-01 05:00:00-04:00,181.0910,181.6100,180.3990,181.1910,49869
2020-04-01 06:00:00-04:00,181.3550,181.7470,180.2620,180.6930,175470
2020-04-01 07:00:00-04:00,180.6910,181.1220,180.1550,180.5370,471822
2020-04-01 08:00:00-04:00,180.5050,183.6800,179.4420,180.4000,651745
2020-04-01 09:00:00-04:00,180.4370,181.9860,180.1260,180.8200,6341308
2020-04-01 10:00:00-04:00,180.8080,182.6260,180.3500,182.2760,7042350
2020-04-01 11:00:00-04:00,182.2330,183.2310,180.7790,181.1810,5278140
2020-04-01 12:00:00-04:00,181.1400,181.1810,178.7880,179.1110,5963089
2020-04-01 13:00:00-04:00,179.0700,179.9800,178.8860,179.7820,5062753
2020-04-01 14:00:00-04:00,179.7440,180.2430,177.9100,178.0370,4393676
2020-04-01 15:00:00-04:00,178.0260,178.7690,176.5240,178.0670,10048147
2020-04-01 16:00:00-04:00,178.0350,179.9930,177.2560,178.0080,982444
2020-04-01 17:00:00-04:00,177.8700,178.0760,177.7240,177.9790,30814
2020-04-01 18:00:00-04:00,177.9380,179.1890,177.9100,178.2620,133580
2020-04-01 19:00:00-04:00,178.1920,179.0620,178.0080,179.0330,62742
2020-04-02 04:00:00-04:00,180.3880,181.1320,180.3210,180.4200,49495
2020-04-02 05:00:00-04:00,180.3980,180.5660,179.4030,179.4730,46805
2020-04-02 06:00:00-04:00,179.2850,180.0290,178.9350,179.5310,83674
2020-04-02 07:00:00-04:00,179.6360,180.4090,179.1010,180.3320,175536
2020-04-02 08:00:00-04:00,179.6560,180.7320,177.2460,177.6470,1038792
2020-04-02 09:00:00-04:00,177.6160,179.3740,175.9480,178.1640,6346345
2020-04-02 10:00:00-04:00,178.1330,181.6690,177.8710,180.4360,9259040
2020-04-02 11:00:00-04:00,180.4080,181.4250,179.5980,181.1030,5591178
2020-04-02 12:00:00-04:00,181.1010,181.6690,180.3300,180.9660,3738234
2020-04-02 13:00:00-04:00,180.9540,181.4830,178.5740,179.2280,5904794
2020-04-02 14:00:00-04:00,179.2070,179.9020,177.5050,179.8340,6806064
2020-04-02 15:00:00-04:00,179.8070,185.6140,179.2570,181.6110,10240291
2020-04-02 16:00:00-04:00,181.5890,182.5180,181.4530,181.6980,1267577
2020-04-02 17:00:00-04:00,181.7550,181.9420,181.5510,181.8840,40487
2020-04-02 18:00:00-04:00,181.6670,182.3910,181.2870,182.0010,141490
2020-04-02 19:00:00-04:00,182.0380,182.1180,180.6230,180.9860,122288
2020-04-03 04:00:00-04:00,180.3000,180.6340,179.1890,179.6780,35257
2020-04-03 05:00:00-04:00,179.7340,180.0190,179.0710,179.8630,30764
2020-04-03 06:00:00-04:00,180.0070,180.3610,179.5980,180.1270,44831
2020-04-03 07:00:00-04:00,180.0850,182.4010,179.8520,182.1280,196573
2020-04-03 08:00:00-04:00,182.0670,182.3230,179.5790,181.1520,546719
2020-04-03 09:00:00-04:00,181.0810,182.6570,180.4960,181.7180,4856540
