,0
0,VTI_Momentum_5
1,DIA_volume
2,VWAP
3,DIA_capital_long
4,IWM_RSI_14
5,DIA_RSI_28
6,GLD_capital
7,SPY_SMA_5
8,VTI_ATR
9,%D
10,day_Friday
11,VTI_ADX
12,DIA_ATR
13,Signal_Line
14,GLD_Volume
15,Momentum_15
16,Momentum_50
17,IWM_Volume_Change_percent
18,USO_Close
19,DIA_Bollinger_Lower
20,SPY_RSI_14
21,week_of_year
22,DIA_close
23,ADX
24,GLD_Close
25,Dividends
26,day_Tuesday
27,IWM_Signal_Line
28,SPY_Volume_Change_percent
29,SPY_RSI_28
30,day_Monday
31,USO_capital
32,IWM_Bollinger_Lower
33,SPY_Signal_Line
34,IWM_MACD
35,day_Wednesday
36,VTI_SMA_5
37,SPY_SMA_10
38,IWM_capital_long
39,SPY_ADX
40,IWM_capital
41,USO_Volume
42,day_Thursday
43,DIA_capital_short
44,IWM_RSI_28
45,DIA_ADX
46,VTI_capital_long
47,VTI_RSI_28
48,IWM_low
49,ATR
